0:1.2012538 1:-1.2528001564615205 2:1.0929413 3:2.852562055493587 4:0.9233588713702409
0 0:1.1133147 1:-1.35599096510516 2:3.2774761272823736 3:1.3221481 4:2.2183093514693857
0 0:1.4574979159706698 1:-1.5308179072656793 2:1.2351636 3:1.1502408 4:1.2710997
0 0:2.3242701083653254 1:-2.697031346509057 2:3.054273480063139 3:2.6394356261680385 4:1.5234598
0 0:2.3590901549878116 1:1.9877795022685627 2:1.016576 3:1.787946654065353 4:-0.4937246704698046
0 0:2.3302984384039696 1:-2.047874190865515 2:2.481265124677494 3:1.2777272 4:3.036196031475751
0 0:2.101899678017909 1:0.4882431690774859 2:1.1359917 3:3.663788167853711 4:1.5385842469361939
0 0:2.8633420267582337 1:-1.0456212708493346 2:1.3185545 3:1.1767503 4:1.3126309
0 0:1.0266692 1:-0.7136329572933489 2:1.5147221516519933 3:2.891560035353569 4:1.8362694580604277
0 0:1.3047428 1:-2.494154479869874 2:3.3983093302862715 3:3.5399589546809125 4:2.4872982371488734
0 0:1.4246588 1:-3.2322766565307886 2:1.1186027 3:1.0933972 4:2.6050445637619024
0 0:1.987928346290461 1:-1.7964200948097433 2:1.4122682 3:1.2064295 4:0.588652722925013
0 0:1.0768257 1:-1.1442544210963013 2:1.1628468 3:1.3463509 4:2.177858137452944
0 0:3.394006722706163 1:-2.9656828499530468 2:1.1682602 3:1.1071177 4:3.46031033335943
0 0:1.0806208 1:-1.3483089434025621 2:3.4315318972234143 3:1.1745498816838755 4:2.440117698818636
0 0:1.5490260266305718 1:0.2814709987519233 2:1.3604776 3:0.5260078572539163 4:2.7244955333414875
0 0:0.9008854322468188 1:-1.019483252614383 2:2.3436579067342223 3:1.2514405 4:2.9046052242772284
0 0:1.8012095 1:-1.512166677113896 2:1.2094331 3:1.9748934212032097 4:1.1591230412580718
0 0:1.1090226 1:-3.308672414257544 2:3.257170248980089 3:2.318984048675133 4:3.613939105633104
0 0:3.3894489539456574 1:-2.8191489637938614 2:1.5898450465122962 3:3.5212609302642117 4:1.5614331
0 0:1.0672853 1:-1.4957636685909437 2:1.4087451 3:1.1540066 4:1.6324293
0 0:1.2623849 1:-3.5388408586953597 2:1.1650283 3:1.0723742 4:2.0327065950819048
0 0:1.2045667 1:-1.4910566143532111 2:3.064866862875223 3:1.0028733 4:2.8240789529729438
0 0:3.574510449311343 1:3.474928243682042 2:1.9781928215472442 3:1.3328718 4:2.952618347358725
0 0:1.3303628 1:-2.3810053219055 2:3.09361421319846 3:1.2973021 4:2.0877248049063
0 0:1.3828135 1:-1.1570242890461884 2:2.3680162713845627 3:3.4661237114405976 4:0.1700725482625402
0 0:3.125855351362446 1:-0.9690342858590879 2:1.2579638 3:2.0578457470581877 4:0.6374163568544435
0 0:1.0686137 1:-0.3941949612367591 2:3.6066673798712445 3:1.3015207 4:2.568215637875012
0 0:2.7710141094052814 1:-3.0210430405059547 2:1.0848577 3:2.6277722292133627 4:1.1512453
0 0:1.0200185 1:-1.1738630139792643 2:2.6335158573524837 3:1.0499596 4:1.016132422724473
0 0:1.2224243 1:0.6241454003177367 2:1.0277233 3:1.1905666 4:1.3850953
0 0:1.4163273 1:-3.030421391099738 2:1.2171828 3:3.3073409481961122 4:3.11654355015957
0 0:2.503319055720393 1:-0.9955710153623512 2:3.2374797961949406 3:0.0 4:1.3261769
0 0:2.8658025884005087 1:-1.124566285951632 2:1.1253976 3:3.331122477882696 4:1.1536757
0 0:1.0465568 1:-0.4422460862645288 2:1.7734880723287125 3:1.0613239 4:2.9507892875651653
0 0:1.3735356 1:-0.5029765808996576 2:1.3094544 3:1.9826460021826242 4:-1.4190635274145627
